"","st_sensor_code","st_value_1","datetime","year","csum","x"
"72",748,0,2020-01-28 17:00:00,"2020",0,0000-01-28 17:00:00
"73",748,0,2020-01-30 15:59:59,"2020",0,0000-01-30 16:00:00
"74",748,0,2020-01-30 15:00:00,"2020",0,0000-01-30 15:00:00
"75",748,0,2020-01-30 14:00:00,"2020",0,0000-01-30 14:00:00
"76",748,0,2020-01-30 12:59:59,"2020",0,0000-01-30 13:00:00
"77",748,0,2020-01-30 12:00:00,"2020",0,0000-01-30 12:00:00
"78",748,0,2020-01-30 11:00:00,"2020",0,0000-01-30 11:00:00
"79",748,0,2020-01-30 09:59:59,"2020",0,0000-01-30 10:00:00
"80",748,0,2020-01-30 09:00:00,"2020",0,0000-01-30 09:00:00
"81",748,0,2020-01-30 08:00:00,"2020",0,0000-01-30 08:00:00
"82",748,0,2020-01-30 06:59:59,"2020",0,0000-01-30 07:00:00
"83",748,0,2020-01-30 06:00:00,"2020",0,0000-01-30 06:00:00
"84",748,0,2020-01-30 05:00:00,"2020",0,0000-01-30 05:00:00
"85",748,0,2020-01-30 03:59:59,"2020",0,0000-01-30 04:00:00
"86",748,0,2020-01-30 03:00:00,"2020",0,0000-01-30 03:00:00
"87",748,0,2020-01-30 02:00:00,"2020",0,0000-01-30 02:00:00
"88",748,0,2020-01-30 00:59:59,"2020",0,0000-01-30 01:00:00
"89",748,0,2020-01-30 00:00:00,"2020",0,0000-01-30 00:00:00
"90",748,0,2020-01-29 23:00:00,"2020",0,0000-01-29 23:00:00
"91",748,0,2020-01-29 21:59:59,"2020",0,0000-01-29 22:00:00
"92",748,0,2020-01-29 21:00:00,"2020",0,0000-01-29 21:00:00
"93",748,0,2020-01-29 20:00:00,"2020",0,0000-01-29 20:00:00
"94",748,0,2020-01-29 18:59:59,"2020",0,0000-01-29 19:00:00
"95",748,0,2020-01-29 18:00:00,"2020",0,0000-01-29 18:00:00
"96",748,0,2020-01-29 17:00:00,"2020",0,0000-01-29 17:00:00
"97",748,0,2020-02-02 15:59:59,"2020",0,0000-02-02 16:00:00
"98",748,0,2020-02-02 15:00:00,"2020",0,0000-02-02 15:00:00
"99",748,0,2020-02-02 14:00:00,"2020",0,0000-02-02 14:00:00
"100",748,0,2020-02-02 12:59:59,"2020",0,0000-02-02 13:00:00
"101",748,0,2020-02-02 12:00:00,"2020",0,0000-02-02 12:00:00
"102",748,0,2020-02-02 11:00:00,"2020",0,0000-02-02 11:00:00
"103",748,0,2020-02-02 09:59:59,"2020",0,0000-02-02 10:00:00
"104",748,0,2020-02-02 09:00:00,"2020",0,0000-02-02 09:00:00
"105",748,0,2020-02-02 08:00:00,"2020",0,0000-02-02 08:00:00
"106",748,0,2020-02-02 06:59:59,"2020",0,0000-02-02 07:00:00
"107",748,0,2020-02-02 06:00:00,"2020",0,0000-02-02 06:00:00
"108",748,0,2020-02-02 05:00:00,"2020",0,0000-02-02 05:00:00
"109",748,0,2020-02-02 03:59:59,"2020",0,0000-02-02 04:00:00
"110",748,0,2020-02-02 03:00:00,"2020",0,0000-02-02 03:00:00
"111",748,0,2020-02-02 02:00:00,"2020",0,0000-02-02 02:00:00
"112",748,0,2020-02-02 00:59:59,"2020",0,0000-02-02 01:00:00
"113",748,0,2020-02-02 00:00:00,"2020",0,0000-02-02 00:00:00
"114",748,0,2020-02-01 23:00:00,"2020",0,0000-02-01 23:00:00
"115",748,0,2020-02-01 21:59:59,"2020",0,0000-02-01 22:00:00
"116",748,0,2020-02-01 21:00:00,"2020",0,0000-02-01 21:00:00
"117",748,0,2020-02-01 20:00:00,"2020",0,0000-02-01 20:00:00
"118",748,0,2020-02-01 18:59:59,"2020",0,0000-02-01 19:00:00
"119",748,0,2020-02-01 18:00:00,"2020",0,0000-02-01 18:00:00
"120",748,0,2020-02-01 17:00:00,"2020",0,0000-02-01 17:00:00
"121",748,0,2020-02-03 15:59:59,"2020",0,0000-02-03 16:00:00
